unique_identifier,text
72.2.3,"to count briefly presented objects , than non-players"
73.1.1,"Video games also develop the individual 's intelligence , and in social games develop the social capabilities of the individual ."
74.1.1,Another way
74.1.2,in which
74.1.3,the usage of video games might provide a benefit
74.2.1,There is a study being conducted by Dr.Cheryl Olson and her team at Massachusetts General Hospital ’s -LRB- MGH -RRB- Center for Mental Health and Media and Harvard
74.2.2,to prove
74.2.3,violent games help
74.2.4,students deal with stress and aggression
74.3.1,She has found
74.3.2,over 49 % of boys and 25 % of girls use violent games such as Grand Theft Auto IV as an outlet for their anger
74.4.1,Dr. Olson has come to the conclusion
74.4.2,violent games affect students positively and not
74.4.3,negatively because
74.4.4,the violent crime rate is going down
74.4.5,the popularity of M - rated video games has increased
74.5.1,"She suggests that instead of stopping children from playing M-rated games completely, parents should just monitor how much time their children spend playing games; parents should take responsibility."
75.1.1,Several studies have explored the possible benefits of multiplayer video games in a family setting .
75.2.1,"The most recent study found that girls 11-16 who played video games with their parents had better mental health and less aggressive behavior, with a stronger connection if they played age-appropriate games."
76.1.1,Many studies have been done on gaming and its integration into the classroom in order
76.1.2,to support the educator
76.2.1,""" The use of gaming has the ability"
76.2.2,to actively involve students in learning
76.3.1,students build collaborative skills while
76.3.2,completing given tasks
77.1.1,"To date , video game training appears"
77.1.2,to be one of the more interesting and promising means
77.1.3,"to improve perceptual , attentional , and cognitive abilities"
77.2.1,One of its promises is
77.2.2,", compared to traditional training , it can be engaging and entertaining"
77.3.1,This has led some companies
77.3.2,to begin
77.3.3,to market video games for the specific purpose of
77.3.4,improving cognition
77.4.1,"For example , Nintendo advertises "" Big Brain Academy "" as a game"
77.4.2,"that """
77.4.3,"trains your brain with a course load of mind - bending activities across five categories : think , memorize , analyze , compute , and identify"
78.1.1,It enables players
78.1.2,to explore various aspects of their identity in a virtual world
79.1.1,"children gain problem solving abilities , perseverance , pattern recognition , hypothesis testing , estimating skills , inductive skills , resources management , logistics mapping , memory , quick thinking and reasonable judgements """
80.1.1,playing video games
80.1.2,contain high levels of action
81.1.1,"Many authors disagree with the notion that suggests that the media can cause violence, they propose media cannot cause violence because humans have the ability to recognize what is wrong, and what is right."
81.2.1,people are not going
81.2.2,to mistake fiction for reality
81.3.1,Some people
81.3.2,criticize the proposed negative effects based their research
82.1.1,J.C. Herz argued
82.1.2,"many so - called negative effects of video games , such as aggression and lack of pro-social behavior , are both necessary and useful traits"
82.1.3,to have in a capitalistic society
82.2.1,"Specifically , Herz argued"
82.2.2,"many academic researchers have an anti-capitalist bias , and thus failed"
82.2.3,to notice the benefits of such traits
83.1.1,they can be a safe outlet for aggression and frustration
